0:0:2 14
0:0:2 14
0:0:2 18.4998
0:0:2 14
0:0:2 60.3015
0:0:2 17.1816
0:0:2 16.1849
0:0:2 14
0:0:2 14
0:0:2 14
0:0:2 14
0:0:2 46.0114
0:0:2 31.018
0:0:2 27.9464
0:0:2 36.8639
0:0:2 89.9701
0:0:2 14
0:0:2 14
0:0:2 18.6812
0:0:2 14
0:0:2 14
0:0:2 32.0249
0:0:2 14
0:0:2 14
0:0:2 14
0:0:2 14.9985
0:0:2 25.8165
0:0:2 14
0:0:2 14
0:0:2 21.6207
0:0:2 14
0:0:2 14.9664
0:0:2 14
0:0:2 14
0:0:2 16.0677
0:0:2 61.4292
0:0:2 44.8444
0:0:2 93.4435
0:0:2 14
0:0:2 14
0:0:2 14
0:0:2 69.9567
0:0:2 14.4637
0:0:2 28.3984
0:0:2 14
0:0:2 14
0:0:2 20.4912
0:0:2 14
0:0:2 14
0:0:2 14
0:0:2 14
0:0:2 22.0536
0:0:2 14
0:0:2 14
0:0:2 14
0:0:2 58.436
0:0:2 16.8588
0:0:2 14
0:0:2 14
0:0:2 18.7921
0:0:2 42.9218
0:0:2 14
0:0:2 27.0934
0:0:2 14
0:0:2 22.4733
0:0:2 14
0:0:2 15.1666
0:0:2 14
0:0:2 47.9867
0:0:2 70.6631
0:0:2 24.6014
0:0:2 14
0:0:2 14
0:0:2 33.6821
0:0:2 42.5818
0:0:2 14
0:0:2 14.6285
0:0:2 14
0:0:2 24.3617
0:0:2 14
0:0:2 30.5938
0:0:2 18.7711
0:0:2 48.5313
0:0:2 14
0:0:2 23.8108
0:0:2 20.5429
0:0:2 14
0:0:2 19.6789
0:0:2 14
0:0:2 14
0:0:2 40.0506
0:0:2 14
0:0:2 14
0:0:2 14
0:0:2 14
0:0:2 17.9849
0:0:2 14
0:0:2 14
0:0:2 14
0:0:2 20.1281
0:0:2 14
0:0:2 14
0:0:2 16.1864
0:0:2 14
0:0:2 14
0:0:2 14
0:0:2 26.8905
0:0:2 14
0:0:2 14
0:0:2 29.9064
0:0:2 54.6394
0:0:2 77.4003
0:0:2 21.9045
0:0:2 36.7534
0:0:2 16.9763
0:0:2 15.6074
0:0:2 113.159
0:0:2 61.4934
0:0:2 14
0:0:2 39.1008
0:0:2 14
0:0:2 27.17
0:0:2 14
0:0:2 14
0:0:2 14
0:0:2 14
0:0:2 14
0:0:2 14
0:0:2 14
0:0:2 14
0:0:2 16.779
0:0:2 19.6276
0:0:2 52.6808
0:0:2 48.8984
0:0:2 39.6969
0:0:2 14
0:0:2 51.0683
0:0:2 24.8334
0:0:2 22.3976
0:0:2 14
0:0:2 15.0937
0:0:2 14
0:0:2 23.0374
0:0:2 14
0:0:2 18.6621
0:0:2 16.9837
0:0:2 14
0:0:2 26.5889
0:0:2 15.8356
0:0:2 67.1503
0:0:2 14
0:0:2 66.5344
0:0:2 14
0:0:2 28.653
0:0:2 22.7489
0:0:2 14
0:0:2 14
0:0:2 17.3097
0:0:2 33.7686
0:0:2 14
0:0:3 51.3438
0:0:3 17.8249
0:0:3 14
0:0:3 32.5656
0:0:3 17.5323
0:0:3 14
0:0:3 16.847
0:0:3 14
0:0:3 14
0:0:3 29.1201
0:0:3 14
0:0:3 14.7813
0:0:3 22.3295
0:0:3 14
0:0:3 14
0:0:3 25.9976
0:0:3 14
0:0:3 205.483
0:0:3 14
0:0:3 27.9989
0:0:3 14
0:0:3 14
0:0:3 14
0:0:3 14
0:0:3 37.9035
0:0:3 18.9113
0:0:3 18.4356
0:0:3 14
0:0:3 14
0:0:3 14
0:0:3 22.0205
0:0:3 47.3381
0:0:3 14.5353
0:0:3 14
0:0:3 14
0:0:3 14
0:0:3 14
0:0:3 79.0692
0:0:3 20.4167
0:0:3 14
0:0:3 24.29
0:0:3 32.8994
0:0:3 14
0:0:3 17.483
0:0:3 28.7587
0:0:3 44.0109
0:0:3 20.0914
0:0:3 16.8586
0:0:3 52.6578
0:0:3 18.5881
0:0:3 14
0:0:3 20.9229
0:0:3 64.6626
0:0:3 14
0:0:3 22.0194
0:0:3 14
0:0:3 37.6199
0:0:3 14
0:0:3 36.5186
0:0:3 21.4252
0:0:3 19.0595
0:0:3 55.0948
0:0:3 16.7498
0:0:3 14
0:0:3 14
0:0:3 65.1037
0:0:3 14
0:0:3 14
0:0:3 14.2469
0:0:3 14
0:0:3 14
0:0:3 14
0:0:3 23.0256
0:0:3 14
0:0:3 24.4004
0:0:3 23.2659
0:0:3 61.4502
0:0:3 14.3574
0:0:3 26.4084
0:0:3 14
0:0:3 14
0:0:3 14
0:0:3 16.6833
0:0:3 14
0:0:3 16.7063
0:0:3 23.3688
0:0:3 34.3842
0:0:3 26.8575
0:0:3 14
0:0:3 151.895
0:0:3 16.3016
0:0:3 19.4168
0:0:3 23.3537
0:0:3 80.8741
0:0:3 14
0:0:3 14
0:0:3 14
0:0:3 20.6934
0:0:3 30.7272
0:0:3 14
0:0:3 15.1139
0:0:3 19.0737
0:0:3 25.2828
0:0:3 25.5755
0:0:3 73.1563
0:0:3 68.8232
0:0:3 14
0:0:3 32.705
0:0:3 14
0:0:3 58.5242
0:0:3 14
0:0:3 17.431
0:0:3 14
0:0:3 14
0:0:3 24.029
0:0:3 14
0:0:3 22.2163
0:0:3 14
0:0:3 41.5146
0:0:3 14
0:0:3 14
0:0:3 25.7265
0:0:3 14
0:0:3 14
0:0:3 18.1712
0:0:3 14
0:0:3 14
0:0:3 84.6223
0:0:3 31.6864
0:0:3 14
0:0:3 14
0:0:3 14
0:0:3 14
0:0:3 14
0:0:3 33.7763
0:0:3 20.1182
0:0:3 82.805
0:0:3 14.053
0:0:3 14
0:0:3 31.8949
0:0:3 52.586
0:0:3 14
0:0:3 15.5157
0:0:3 19.841
0:0:3 21.0351
0:0:3 25.8376
0:0:3 19.2578
0:0:3 27.1777
0:0:3 77.5881
0:0:3 14
0:0:3 44.5746
0:0:3 98.8116
0:0:3 14
0:0:3 31.4926
0:0:3 14
0:0:3 14
0:0:3 26.6313
0:0:3 25.1779
0:0:3 14
0:0:3 14.8812
0:0:3 14
0:0:3 21.8137
0:0:3 14.573
0:0:3 14
0:0:3 14
0:0:3 14
0:0:3 76.1507
0:0:3 14
0:0:3 29.4332
0:0:4 14
0:0:4 14
0:0:4 14
0:0:4 14
0:0:4 14
0:0:4 14
0:0:4 18.6048
0:0:4 45.326
0:0:4 14
0:0:4 17.0807
0:0:4 14
0:0:4 14
0:0:4 39.5835
0:0:4 16.8
0:0:4 14
0:0:4 32.2897
0:0:4 21.1575
0:0:4 14
0:0:4 16.8237
0:0:4 14
0:0:4 40.217
0:0:4 15.7661
0:0:4 24.2589
0:0:4 14
0:0:4 14
0:0:4 14
0:0:4 20.3177
0:0:4 25.6493
0:0:4 14
0:0:4 19.4636
0:0:4 14
0:0:4 34.8696
0:0:4 14
0:0:4 14
0:0:4 14
0:0:4 47.4948
0:0:4 14
0:0:4 31.4549
0:0:4 14
0:0:4 14
0:0:4 15.5268
0:0:4 14
0:0:4 26.989
0:0:4 14.2229
0:0:4 14
0:0:4 21.7623
0:0:4 14.5418
0:0:4 39.2433
0:0:4 14.8478
0:0:4 14
0:0:4 14.0795
0:0:4 38.1995
0:0:4 14
0:0:4 18.0002
0:0:4 20.4321
0:0:4 15.0451
0:0:4 32.5975
0:0:4 43.051
0:0:4 50.8302
0:0:4 14
0:0:4 18.2999
0:0:4 22.8903
0:0:4 14.2964
0:0:4 14
0:0:4 14
0:0:4 123.078
0:0:4 22.0615
0:0:4 17.0107
0:0:4 28.7147
0:0:4 14
0:0:4 18.1524
0:0:4 14
0:0:4 42.571
0:0:4 65.1492
0:0:4 14
0:0:4 14
0:0:4 16.0303
0:0:4 25.2828
0:0:4 42.882
0:0:4 14
0:0:4 49.8645
0:0:4 14.5689
0:0:4 14
0:0:4 22.5308
0:0:4 14
0:0:4 28.6417
0:0:4 14
0:0:4 14
0:0:4 37.47
0:0:4 14
0:0:4 27.3553
0:0:4 37.957
0:0:4 14
0:0:4 14
0:0:4 32.5159
0:0:4 33.2387
0:0:4 14
0:0:4 14
0:0:4 66.6838
0:0:4 14
0:0:4 14
0:0:4 14
0:0:4 64.6769
0:0:4 53.0425
0:0:4 27.8101
0:0:4 14
0:0:4 14
0:0:4 14
0:0:4 25.2362
0:0:4 23.734
0:0:4 14.5485
0:0:4 14
0:0:4 24.394
0:0:4 18.5705
0:0:4 29.7797
0:0:4 14
0:0:4 14
0:0:4 14
0:0:4 14
0:0:4 14
0:0:4 21.0812
0:0:4 35.4058
0:0:4 55.6999
0:0:4 18.1045
0:0:4 47.7624
0:0:4 14
0:0:4 14
0:0:4 27.1401
0:0:4 35.0283
0:0:4 31.4968
0:0:4 16.1766
0:0:4 14.3025
0:0:4 15.8169
0:0:4 14
0:0:4 15.9448
0:0:4 14
0:0:4 72.7868
0:0:4 14
0:0:4 14
0:0:4 20.2649
0:0:4 14
0:0:4 14
0:0:4 14
0:0:4 14
0:0:4 14
0:0:4 32.5527
0:0:4 27.9173
0:0:4 27.0788
0:0:4 25.366
0:0:4 30.9884
0:0:4 14
0:0:4 14
0:0:4 14
0:0:4 14
0:0:4 14
0:0:4 14
0:0:4 22.0618
0:0:4 14
0:0:4 14
0:0:4 36.1534
0:0:4 14
0:0:4 14
0:0:5 36.1731
0:0:5 24.3065
0:0:5 75.3278
0:0:5 19.6782
0:0:5 60.8152
0:0:5 80.9272
0:0:5 23.9616
0:0:5 14
0:0:5 22.7747
0:0:5 30.694
0:0:5 14
0:0:5 14
0:0:5 14
0:0:5 14
0:0:5 28.4136
0:0:5 15.8467
0:0:5 14
0:0:5 84.1675
0:0:5 14
0:0:5 14
0:0:5 14
0:0:5 14
0:0:5 14.2976
0:0:5 14
0:0:5 14
0:0:5 18.7122
0:0:5 32.2307
0:0:5 15.2655
0:0:5 14
0:0:5 14
0:0:5 38.5721
0:0:5 77.7554
0:0:5 14
0:0:5 15.2213
0:0:5 15.8513
0:0:5 14.3687
0:0:5 24.8783
0:0:5 56.6623
0:0:5 14
0:0:5 28.9433
0:0:5 22.314
0:0:5 28.6865
0:0:5 14
0:0:5 15.0757
0:0:5 14
0:0:5 59.7418
0:0:5 47.3849
0:0:5 14
0:0:5 14.4932
0:0:5 83.0234
0:0:5 20.3488
0:0:5 14
0:0:5 16.9821
0:0:5 28.4734
0:0:5 30.2182
0:0:5 17.0859
0:0:5 14
0:0:5 14
0:0:5 16.4179
0:0:5 28.7071
0:0:5 34.5595
0:0:5 20.069
0:0:5 14
0:0:5 36.5185
0:0:5 14
0:0:5 14
0:0:5 16.7186
0:0:5 14
0:0:5 14
0:0:5 16.4698
0:0:5 16.7355
0:0:5 23.1641
0:0:5 107.243
0:0:5 21.3095
0:0:5 21.5223
0:0:5 14
0:0:5 14
0:0:5 23.6999
0:0:5 14
0:0:5 44.5201
0:0:5 19.7591
0:0:5 14
0:0:5 17.2491
0:0:5 54.6585
0:0:5 19.2637
0:0:5 29.5303
0:0:5 14
0:0:5 14
0:0:5 21.9023
0:0:5 15.6364
0:0:5 34.5447
0:0:5 14
0:0:5 26.2752
0:0:5 14
0:0:5 14
0:0:5 37.4705
0:0:5 42.6256
0:0:5 21.6716
0:0:5 14
0:0:5 16.7116
0:0:5 15.9134
0:0:5 33.1842
0:0:5 14
0:0:5 17.9775
0:0:5 14
0:0:5 18.8765
0:0:5 14
0:0:5 14
0:0:5 26.0407
0:0:5 16.3096
0:0:5 14
0:0:5 16.1692
0:0:5 14
0:0:5 38.1086
0:0:5 14
0:0:5 126.493
0:0:5 14
0:0:5 17.5591
0:0:5 14
0:0:5 25.9142
0:0:5 15.1708
0:0:5 14
0:0:6 36.7235
0:0:6 14
0:0:6 25.2926
0:0:6 14
0:0:6 14
0:0:6 57.6215
0:0:6 14
0:0:6 20.9499
0:0:6 22.4747
0:0:6 14
0:0:6 75.3932
0:0:6 32.5245
0:0:6 14
0:0:6 29.5291
0:0:6 67.7655
0:0:6 14
0:0:6 35.4809
0:0:6 45.0738
0:0:6 96.3529
0:0:6 63.7514
0:0:6 24.1357
0:0:6 19.5853
0:0:6 21.2298
0:0:6 15.8672
0:0:6 19.3777
0:0:6 28.7945
0:0:6 14
0:0:6 14
0:0:6 29.6313
0:0:6 20.4782
0:0:6 15.4385
0:0:6 14
0:0:6 19.7426
0:0:6 68.3502
0:0:6 23.3291
0:0:6 19.2943
0:0:6 16.0207
0:0:6 14
0:0:6 14
0:0:6 23.2394
0:0:6 14
0:0:6 14
0:0:6 14
0:0:6 14
0:0:6 24.5786
0:0:6 17.9733
0:0:6 23.5817
0:0:6 18.8753
0:0:6 29.9212
0:0:6 14
0:0:6 39.4436
0:0:6 28.4044
0:0:6 14.1135
0:0:6 15.6752
0:0:6 14
0:0:6 14
0:0:6 14
0:0:6 26.949
0:0:7 14
0:0:7 14
0:0:7 37.2687
0:0:7 16.8984
0:0:7 25.6456
0:0:7 14
0:0:7 14
0:0:7 14
0:0:7 14
0:0:7 14
0:0:7 31.4245
0:0:7 14
0:0:7 35.6136
0:0:7 14
0:0:7 14
0:0:7 14
0:0:7 14
0:0:7 14
0:0:7 24.2041
0:0:7 14
0:0:7 14
0:0:7 28.3983
0:0:7 29.5323
0:0:7 14.2968
0:0:7 14.2603
0:0:7 14
0:0:7 14
0:0:7 14
0:0:7 14
0:0:7 26.0158
0:0:7 14
0:0:7 21.6195
0:0:7 54.4339
0:0:7 14
0:0:7 14
0:0:7 15.7586
0:0:7 37.3615
0:0:7 28.1885
