0~3600,7496
3600~7200,3600
7200~10800,1812
10800~14400,730
14400~18000,588
18000~21600,2198
21600~25200,5561
25200~28800,7249
28800~32400,8080
32400~36000,9764
36000~39600,9681
39600~43200,9615
43200~46800,9650
46800~50400,10664
50400~54000,10533
54000~57600,9913
57600~61200,9279
61200~64800,8928
64800~68400,8651
68400~72000,9817
72000~75600,10378
75600~79200,10087
79200~82800,9244
82800~86400,5799

