23115.5,14
23115.5,14
23115.5,14
23115.5,14
23115.5,14
23367.8,12.5984
23393,14
23598.6,13.2344
23768,13.1784
25335.1,39.8824
25711.9,13.3499
25711.9,14
26003.9,12.5694
26265.2,12.5483
26700.3,15.6266
27313.2,19.7399
27610.1,13.0689
28176.9,17.8953
28752.4,18.9488
29426,21.0211
30268.7,24.4257
30483,13.0571
31826.5,35.1642
31826.5,14
32450.7,19.9767
32576.8,13.5674
32627.7,14
37467.8,108.4
37467.8,14
37753,12.8211
40560.2,64.6841
40765.7,12.9796
40806.4,13.7737
41081.2,12.6015
41176.5,13.4704
41722.1,17.3981
42230.1,17.5243
42486,12.5781
43012.2,17.9075
43189.1,13.4498
43484.3,12.6884
44587.9,28.6317
44603.1,13.9201
44774.2,13.0496
44918.1,13.2005
44929,14
45854.8,25.6435
46150.3,12.5212
46414.2,12.5458
46795.4,14.8475
47079,12.788
47514.4,15.6932
48250.8,22.3461
48800.2,18.0122
49488.4,21.3285
49837.2,14.1634
50038.5,12.8817
50073.2,13.807
50076.8,14
50076.8,14
50276.8,12.8893
51173.8,25.738
52135.4,27.0992
53150,26.6833
53708.7,18.5946
54814,29.6536
55208.2,13.814
55701.3,15.9547
55990.3,13.1239
56254.9,12.5299
56715.5,15.8946
57150.4,13.3217
57150.4,14
57257.9,13.4025
58476.4,32.4986
58744,12.6252
59342.1,19.4259
60317,26.9528
60354.8,14
61634.8,33.8225
61933.1,12.8501
62231.3,12.9665
63044.4,20.9963
63266.4,12.7666
63489.8,13.1019
63816.5,13.4725
64114.9,12.525
65524.3,36.4595
66144.2,17.759
66254.9,13.8557
68036.8,42.733
68213.9,13.2949
68667.3,16.3723
69512.6,23.1931
69610.2,13.4575
69967.5,14.3417
70679.3,17.5158
70817.9,13.6964
71449.9,18.927
71904.2,15.5423
72455.5,17.8519
73214.7,12.7223
74007.2,22.1998
75475.5,37.7979
75849.7,13.5997
76309.1,13.5057
82209.3,13.5057
82844.6,13.5057
